id	url	source	notes
1	https://job-boards.greenhouse.io/anthropic/jobs/5134153008	Anthropic	AI Productivity Lead, Communications
2	https://job-boards.greenhouse.io/anthropic/jobs/4956672008	Anthropic	Analytics Data Engineer
3	https://job-boards.greenhouse.io/anthropic/jobs/5125387008	Anthropic	Analytics Data Engineering Manager, Product
4	https://job-boards.greenhouse.io/anthropic/jobs/5023394008	Anthropic	Anthropic AI Safety Fellow
5	https://job-boards.greenhouse.io/anthropic/jobs/5030244008	Anthropic	Anthropic AI Security Fellow
6	https://job-boards.greenhouse.io/anthropic/jobs/5014500008	Anthropic	Applied AI Engineer
7	https://job-boards.greenhouse.io/anthropic/jobs/5055488008	Anthropic	Applied AI Engineer
8	https://job-boards.greenhouse.io/anthropic/jobs/5116274008	Anthropic	Applied AI Engineer
9	https://job-boards.greenhouse.io/anthropic/jobs/5068226008	Anthropic	Applied AI Engineer, Beneficial Deployments
10	https://job-boards.greenhouse.io/anthropic/jobs/5057647008	Anthropic	Applied AI Engineer (Digital Natives Business)
11	https://job-boards.greenhouse.io/anthropic/jobs/5111942008	Anthropic	Applied AI Engineer, Life Sciences (Beneficial Deployments)
12	https://job-boards.greenhouse.io/anthropic/jobs/5073277008	Anthropic	Applied AI Engineer (Startups)
13	https://job-boards.greenhouse.io/anthropic/jobs/5066977008	Anthropic	Biological Safety Research Scientist
14	https://job-boards.greenhouse.io/anthropic/jobs/5116927008	Anthropic	Claude Evangelist, Applied AI (Startups)
15	https://job-boards.greenhouse.io/anthropic/jobs/5156057008	Anthropic	Data Engineer, Safeguards
16	https://job-boards.greenhouse.io/anthropic/jobs/5125881008	Anthropic	Data Science Engineer, Capacity & Efficiency
17	https://job-boards.greenhouse.io/anthropic/jobs/5161402008	Anthropic	Data Scientist, Marketing
18	https://job-boards.greenhouse.io/anthropic/jobs/5097186008	Anthropic	Design Engineer, AI Capability Development (Education Labs)
19	https://job-boards.greenhouse.io/anthropic/jobs/4741104008	Anthropic	Engineering Manager, GPU (ML Accelerator)
20	https://job-boards.greenhouse.io/anthropic/jobs/4532887008	Anthropic	[Expression of Interest] Research Scientist / Engineer, Honesty
21	https://job-boards.greenhouse.io/anthropic/jobs/5121561008	Anthropic	Forward Deployed Engineer, Applied AI
22	https://job-boards.greenhouse.io/anthropic/jobs/5121563008	Anthropic	Forward Deployed Engineer, Applied AI
23	https://job-boards.greenhouse.io/anthropic/jobs/4985877008	Anthropic	Forward Deployed Engineer, Applied AI
24	https://job-boards.greenhouse.io/anthropic/jobs/5012991008	Anthropic	Forward Deployed Engineer, Applied AI
25	https://job-boards.greenhouse.io/anthropic/jobs/5079562008	Anthropic	Forward Deployed Engineer, Applied AI (Federal Civilian)
26	https://job-boards.greenhouse.io/anthropic/jobs/5064817008	Anthropic	Head of Solutions Architects, Applied AI (Korea)
27	https://job-boards.greenhouse.io/anthropic/jobs/4952079008	Anthropic	Machine Learning Systems Engineer, Research Tools
28	https://job-boards.greenhouse.io/anthropic/jobs/4952051008	Anthropic	Machine Learning Systems Engineer, RL Engineering
29	https://job-boards.greenhouse.io/anthropic/jobs/5173031008	Anthropic	Manager, Applied AI Solutions Architecture - Partnerships
30	https://job-boards.greenhouse.io/anthropic/jobs/5142110008	Anthropic	Manager, Applied AI (Startups)
31	https://job-boards.greenhouse.io/anthropic/jobs/5149911008	Anthropic	Manager, Data Science, GTM
32	https://job-boards.greenhouse.io/anthropic/jobs/5117652008	Anthropic	Manager of Solutions Architecture, Applied AI (Industries)
33	https://job-boards.greenhouse.io/anthropic/jobs/4964610008	Anthropic	Manager of Solutions Architecture, Applied AI (Industries)
34	https://job-boards.greenhouse.io/anthropic/jobs/5115884008	Anthropic	Manager of Solutions Architecture, Applied AI (Industries)
35	https://job-boards.greenhouse.io/anthropic/jobs/5146999008	Anthropic	Manager of Solutions Architecture, Applied AI (Partnerships)
36	https://job-boards.greenhouse.io/anthropic/jobs/4778843008	Anthropic	ML Infrastructure Engineer, Safeguards
37	https://job-boards.greenhouse.io/anthropic/jobs/4949336008	Anthropic	ML/Research Engineer, Safeguards
38	https://job-boards.greenhouse.io/anthropic/jobs/5164616008	Anthropic	Partner Manager DACH/CEE (AI Boutiques)
39	https://job-boards.greenhouse.io/anthropic/jobs/5164620008	Anthropic	Partner Manager UK & North Europe, (AI Boutiques)
40	https://job-boards.greenhouse.io/anthropic/jobs/5112486008	Anthropic	Partner Solutions Architect, Applied AI
41	https://job-boards.greenhouse.io/anthropic/jobs/4950664008	Anthropic	Partner Solutions Architect, Applied AI
42	https://job-boards.greenhouse.io/anthropic/jobs/5112493008	Anthropic	Partner Solutions Architect, Applied AI
43	https://job-boards.greenhouse.io/anthropic/jobs/5125083008	Anthropic	Research Engineer, AI Observability
44	https://job-boards.greenhouse.io/anthropic/jobs/5115935008	Anthropic	Research Engineer, Machine Learning (Reinforcement Learning)
45	https://job-boards.greenhouse.io/anthropic/jobs/4613568008	Anthropic	Research Engineer, Machine Learning (Reinforcement Learning)
46	https://job-boards.greenhouse.io/anthropic/jobs/5074815008	Anthropic	Research Engineer/Research Scientist, Audio
47	https://job-boards.greenhouse.io/anthropic/jobs/5135168008	Anthropic	Research Engineer / Research Scientist, Pre-training
48	https://job-boards.greenhouse.io/anthropic/jobs/4951814008	Anthropic	Research Engineer / Research Scientist, Tokens
49	https://job-boards.greenhouse.io/anthropic/jobs/5074217008	Anthropic	Research Engineer / Research Scientist, Vision
50	https://job-boards.greenhouse.io/anthropic/jobs/5103788008	Anthropic	Research Scientist, Frontier Red Team (Emerging Risks)
51	https://job-boards.greenhouse.io/anthropic/jobs/4980427008	Anthropic	Research Scientist, Interpretability
52	https://job-boards.greenhouse.io/anthropic/jobs/5076616008	Anthropic	Research Scientist, Societal Impacts
53	https://job-boards.greenhouse.io/anthropic/jobs/5101433008	Anthropic	Security Architect, Applied AI
54	https://job-boards.greenhouse.io/anthropic/jobs/5024835008	Anthropic	Senior Research Scientist, Reward Models
55	https://job-boards.greenhouse.io/anthropic/jobs/4941996008	Anthropic	Software Engineer, Enterprise AI Products
56	https://job-boards.greenhouse.io/anthropic/jobs/4926242008	Anthropic	Software Engineer, ML Networking
57	https://job-boards.greenhouse.io/anthropic/jobs/5076109008	Anthropic	Solutions Architect, Applied AI
58	https://job-boards.greenhouse.io/anthropic/jobs/5117589008	Anthropic	Solutions Architect, Applied AI
59	https://job-boards.greenhouse.io/anthropic/jobs/5117581008	Anthropic	Solutions Architect, Applied AI
60	https://job-boards.greenhouse.io/anthropic/jobs/5146028008	Anthropic	Solutions Architect, Applied AI (Beneficial Deployments)
61	https://job-boards.greenhouse.io/anthropic/jobs/5062712008	Anthropic	Solutions Architect, Applied AI (Beneficial Deployments)
62	https://job-boards.greenhouse.io/anthropic/jobs/5124533008	Anthropic	Solutions Architect, Applied AI (Creatives)
63	https://job-boards.greenhouse.io/anthropic/jobs/5065835008	Anthropic	Solutions Architect, Applied AI (Digital Native Business)
64	https://job-boards.greenhouse.io/anthropic/jobs/5079540008	Anthropic	Solutions Architect, Applied AI (Federal Civilian)
65	https://job-boards.greenhouse.io/anthropic/jobs/5140405008	Anthropic	Solutions Architect, Applied AI (Government Technology)
66	https://job-boards.greenhouse.io/anthropic/jobs/4977626008	Anthropic	Solutions Architect, Applied AI (Industries)
67	https://job-boards.greenhouse.io/anthropic/jobs/4977624008	Anthropic	Solutions Architect, Applied AI (Industries)
68	https://job-boards.greenhouse.io/anthropic/jobs/4461444008	Anthropic	Solutions Architect, Applied AI (Industries)
69	https://job-boards.greenhouse.io/anthropic/jobs/5031670008	Anthropic	Solutions Architect, Applied AI (Industries)
70	https://job-boards.greenhouse.io/anthropic/jobs/5079511008	Anthropic	Solutions Architect, Applied AI (National Security)
71	https://job-boards.greenhouse.io/anthropic/jobs/4968059008	Anthropic	Solutions Architect, Applied AI (Startups)
72	https://job-boards.greenhouse.io/anthropic/jobs/5057258008	Anthropic	Solutions Architect, Applied AI (Startups)
73	https://job-boards.greenhouse.io/anthropic/jobs/5140403008	Anthropic	Solutions Architect, Applied AI (State and Local Government, West)
74	https://job-boards.greenhouse.io/anthropic/jobs/5113224008	Anthropic	Staff / Senior Software Engineer, AI Reliability
75	https://job-boards.greenhouse.io/anthropic/jobs/5101173008	Anthropic	Staff Software Engineer, AI Reliability Engineering
76	https://job-boards.greenhouse.io/anthropic/jobs/5101169008	Anthropic	Staff Software Engineer, AI Reliability Engineering
77	https://job-boards.greenhouse.io/anthropic/jobs/5122119008	Anthropic	Support Operations Specialist, AI Agent Management
78	https://job-boards.greenhouse.io/anthropic/jobs/5017903008	Anthropic	Technical Deployment, Applied AI
79	https://job-boards.greenhouse.io/anthropic/jobs/5153754008	Anthropic	Technical Deployment Lead, Applied AI
80	https://job-boards.greenhouse.io/anthropic/jobs/5153761008	Anthropic	Technical Deployment Lead, Applied AI
81	https://job-boards.greenhouse.io/anthropic/jobs/5149802008	Anthropic	Transformative AI Research Economist, Economic Research
82	https://job-boards.greenhouse.io/anthropic/jobs/5026097008	Anthropic	UI Software Engineer, Claude.ai Consumer Product
83	https://job-boards.eu.greenhouse.io/polyai/jobs/4710429101	PolyAI	AI Software Engineer (Must be based in Serbia)
84	https://job-boards.eu.greenhouse.io/polyai/jobs/4796935101	PolyAI	Forward Deployed AI Engineer (Must be PST timezone)
85	https://job-boards.eu.greenhouse.io/polyai/jobs/4822441101	PolyAI	Senior Partner Solutions Engineer
86	https://job-boards.eu.greenhouse.io/polyai/jobs/4594342101	PolyAI	Senior Research Scientist (Must be based in UK)
87	https://job-boards.eu.greenhouse.io/parloa/jobs/4784741101	Parloa	GSI Partnerships Manager -  (Conversational AI & Agentic AI)
88	https://job-boards.eu.greenhouse.io/parloa/jobs/4566280101	Parloa	Lead AI Agent Architect
89	https://job-boards.eu.greenhouse.io/parloa/jobs/4782800101	Parloa	Senior AI Agent Architect
90	https://job-boards.eu.greenhouse.io/parloa/jobs/4766701101	Parloa	Senior AI Agent Architect
91	https://job-boards.eu.greenhouse.io/parloa/jobs/4826898101	Parloa	Senior Data Analyst
92	https://job-boards.greenhouse.io/intercom/jobs/7609852	Intercom	Account Executive, Emerging AI Products
93	https://job-boards.greenhouse.io/intercom/jobs/7583124	Intercom	Account Executive, Emerging AI Products
94	https://job-boards.greenhouse.io/intercom/jobs/7603334	Intercom	Account Executive, Emerging AI Products
95	https://job-boards.greenhouse.io/intercom/jobs/7672152	Intercom	Growth Data Scientist
96	https://job-boards.greenhouse.io/intercom/jobs/7524848	Intercom	GTM Data Analyst - Integrated Campaigns
97	https://job-boards.greenhouse.io/intercom/jobs/7524826	Intercom	GTM Data Analyst - Scaled Digital Success
98	https://job-boards.greenhouse.io/intercom/jobs/7644940	Intercom	Manager, Solutions Engineering (Mid-Market & Enterprise)
99	https://job-boards.greenhouse.io/intercom/jobs/7644731	Intercom	Manager, Solutions Engineering (Mid-Market & Enterprise)
100	https://job-boards.greenhouse.io/intercom/jobs/7725837	Intercom	Principal Engineer, Fin AI Agent
101	https://job-boards.greenhouse.io/intercom/jobs/7681157	Intercom	Sales Operations Manager, Emerging AI Products
102	https://job-boards.greenhouse.io/intercom/jobs/7776018	Intercom	Senior AI Deployment Architect
103	https://job-boards.greenhouse.io/intercom/jobs/7774407	Intercom	Senior AI Deployment Architect
104	https://job-boards.greenhouse.io/intercom/jobs/7735288	Intercom	Senior AI Deployment Consultant
105	https://job-boards.greenhouse.io/intercom/jobs/7544457	Intercom	Senior AI Deployment Consultant
106	https://job-boards.greenhouse.io/intercom/jobs/7464294	Intercom	Senior AI Product Manager
107	https://job-boards.greenhouse.io/intercom/jobs/7377200	Intercom	Senior AI Product Manager
108	https://job-boards.greenhouse.io/intercom/jobs/7464291	Intercom	Senior AI Product Manager
109	https://job-boards.greenhouse.io/intercom/jobs/7574783	Intercom	Senior Data Engineering Manager
110	https://job-boards.greenhouse.io/intercom/jobs/7574762	Intercom	Senior Data Engineering Manager
111	https://job-boards.greenhouse.io/intercom/jobs/7749323	Intercom	Senior Data Scientist
112	https://job-boards.greenhouse.io/intercom/jobs/7314809	Intercom	Senior Data Scientist - AI Tooling
113	https://job-boards.greenhouse.io/intercom/jobs/7606649	Intercom	Senior Data Scientist AI Tooling
114	https://job-boards.greenhouse.io/intercom/jobs/7606638	Intercom	Senior Data Scientist AI Tooling
115	https://job-boards.greenhouse.io/intercom/jobs/6317929	Intercom	Senior Data Scientist - Product Analytics
116	https://job-boards.greenhouse.io/intercom/jobs/6949785	Intercom	Senior Engineer, AI Developer
117	https://job-boards.greenhouse.io/intercom/jobs/7436402	Intercom	Senior Growth Data Scientist
118	https://job-boards.greenhouse.io/intercom/jobs/7437796	Intercom	Senior Growth Data Scientist
119	https://job-boards.greenhouse.io/intercom/jobs/7652268	Intercom	Senior GTM Data Scientist
120	https://job-boards.greenhouse.io/intercom/jobs/7372016	Intercom	Senior Machine Learning Scientist
121	https://job-boards.greenhouse.io/intercom/jobs/7271603	Intercom	Senior Machine Learning Scientist
122	https://job-boards.greenhouse.io/intercom/jobs/6531495	Intercom	Senior Machine Learning Scientist
